"country","iso2c","year","violence","violence_y_cum","maj","system","govfrac","pr","liec","single_party","disproportionality","high_prop","polity2","dem_age","durable","gini","gdp_per_capita","murder_rate","women_in_parl","immunity","ethnic_alesina","higher_trust","cw_surv_self_expr","federal","enpv","enps"
"Andorra","AD","2001",0,0,NA,NA,NA,NA,NA,NA,9.97,0,NA,NA,NA,NA,29.2988442109536,NA,14.3,NA,0.713946,NA,NA,NA,NA,NA
"Andorra","AD","2005",0,0,NA,NA,NA,NA,NA,NA,6.1,0,NA,NA,NA,NA,31.2689667449795,NA,28.6,NA,0.713946,0,1.15798282623291,NA,NA,NA
"Andorra","AD","2009",0,0,NA,NA,NA,NA,NA,NA,8.41,0,NA,NA,NA,NA,NA,1.3,35.7,NA,0.713946,0,1.15798282623291,NA,NA,NA
"Andorra","AD","2011",0,0,NA,NA,NA,NA,NA,NA,17.2,0,NA,NA,NA,NA,NA,NA,50,NA,0.713946,0,1.15798282623291,NA,2.35,1.78
"Afghanistan","AF","1980",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,0.769344584540685,NA,NA,NA,NA,NA
"Afghanistan","AF","1981",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,0.769344584540685,NA,NA,NA,NA,NA
"Afghanistan","AF","1982",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,0.769344584540685,NA,NA,NA,NA,NA
"Afghanistan","AF","1983",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,0.769344584540685,NA,NA,NA,NA,NA
"Afghanistan","AF","1984",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,0.769344584540685,NA,NA,NA,NA,NA
"Afghanistan","AF","1985",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,0.769344584540685,NA,NA,NA,NA,NA
"Afghanistan","AF","1986",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,0.769344584540685,NA,NA,NA,NA,NA
"Afghanistan","AF","1987",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,0.769344584540685,NA,NA,NA,NA,NA
"Afghanistan","AF","1988",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,3.70000004768372,1,0.769344584540685,NA,NA,NA,NA,NA
"Afghanistan","AF","1989",0,0,NA,NA,NA,NA,NA,NA,NA,NA,-8,0,0,NA,NA,NA,3.70000004768372,1,0.769344584540685,NA,NA,NA,NA,NA
"Afghanistan","AF","1990",0,0,NA,NA,NA,NA,NA,NA,NA,NA,-8,0,1,NA,NA,NA,3.70000004768372,1,0.769344584540685,NA,NA,NA,NA,NA
