country,iso2c,year,jw_rank,jw_persr,jw_domr,jw_avgballot,jw_avgpool,jw_avgvote,dem_age,maj,mdmh,totalseats,mdmh.1,mdmhDum,day,month,Video,Start.Footage.,No.start,No.join,TimeToPeak.sec,No.atPeak,RangeNoPeak.low,RangeNoPeak.high,PeakLength.sec,R.involved,R.start,No.Names,No.Injuries,Total,TotalPropSeats
AFGHANISTAN,AF,2006,0,13,13,2,2,2,0,NA,7.32000017166138,249,7.32000017166138,District Mag. > 1,8,5,Y,Y,4,0,560,5,5,8,8,Several,NA,1,0,5,0.0200803212851406
AFGHANISTAN,AF,2011,0,13,13,2,2,2,0,NA,7.32000017166138,249,7.32000017166138,District Mag. > 1,6,7,Y,Y,2,0,8,2,NA,NA,10,2,2,2,0,2,0.00803212851405622
ARGENTINA,AR,2010,0,1,1,0,0,0,28,0.338521391153336,10.6999998092651,257,10.6999998092651,District Mag. > 1,NA,11,Y,Y,2,0,16,2,NA,NA,2,2,2,2,0,2,0.00778210116731518
BULGARIA,BG,1990,0,10,1,1,1,0.5,1,1,NA,400,NA,NA,22,11,N,N,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,NA,NA
"BOLIVIA, PLURINATIONAL STATE OF",BO,2007,0,10,10,1.04615384615385,1.04615384615385,0.523076923076923,26,0.553846180438995,1.69000005722046,130,1.69000005722046,District Mag. > 1,23,8,Y,N,6,15,1,21,NA,NA,20,"""Some""",NA,0,0,21,0.161538461538462
ECUADOR,EC,1985,0,1,1,0,0,0,7,0.228571429848671,4.40000009536743,70,4.40000009536743,District Mag. > 1,22,8,N,N,NA,NA,NA,NA,NA,NA,NA,10+,~2,3,1,11,0.157142857142857
GEORGIA,GE,1996,0,10,1,0.723404255319149,0.723404255319149,0.361702127659574,0,0.851485133171082,1,202,1,District Mag. = 1,6,4,N,N,NA,NA,NA,NA,NA,NA,NA,2,2,2,0,2,0.0099009900990099
GEORGIA,GE,2002,0,10,1,0.723404255319149,0.723404255319149,0.361702127659574,0,0.555555582046509,1,234,1,District Mag. = 1,5,11,N,N,NA,NA,NA,NA,NA,NA,NA,5+,NA,0,0,5,0.0213675213675214
GEORGIA,GE,2005,0,10,1,0.723404255319149,0.723404255319149,0.361702127659574,2,0.678571403026581,2.47000002861023,224,2.47000002861023,District Mag. > 1,1,7,N,N,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,NA,NA
GEORGIA,GE,2010,0,10,1,0.723404255319149,0.723404255319149,0.361702127659574,7,0.793333351612091,2.47000002861023,150,2.47000002861023,District Mag. > 1,26,1,Y,Y,2,0,3,2,NA,NA,11,NA,NA,NA,NA,2,0.0133333333333333
