"iso2c","year","enpv","enps"
"AD",1993,NA,NA
"AD",1994,NA,NA
"AD",1995,NA,NA
"AD",1996,NA,NA
"AD",1997,NA,NA
"AD",1998,NA,NA
"AD",1999,NA,NA
"AD",2000,NA,NA
"AD",2001,NA,NA
"AD",2002,NA,NA
"AD",2003,NA,NA
"AD",2004,NA,NA
"AD",2005,NA,NA
"AD",2006,NA,NA
"AD",2007,NA,NA
"AD",2008,NA,NA
"AD",2011,2.35,1.78
"AE",1980,NA,NA
"AE",1981,NA,NA
"AE",1982,NA,NA
"AE",1983,NA,NA
"AE",1984,NA,NA
"AE",1985,NA,NA
"AE",1986,NA,NA
"AE",1987,NA,NA
"AE",1988,NA,NA
"AE",1989,NA,NA
"AE",1990,NA,NA
"AE",1991,NA,NA
"AE",1992,NA,NA
"AE",1993,NA,NA
"AE",1994,NA,NA
"AE",1995,NA,NA
"AE",1996,NA,NA
"AE",1997,NA,NA
"AE",1998,NA,NA
"AE",1999,NA,NA
"AE",2000,NA,NA
"AE",2001,NA,NA
"AE",2002,NA,NA
"AE",2003,NA,NA
"AE",2004,NA,NA
"AE",2005,NA,NA
"AE",2006,NA,NA
"AE",2007,NA,NA
"AE",2008,NA,NA
"AE",2009,NA,NA
"AF",1980,NA,NA
"AF",1981,NA,NA
"AF",1982,NA,NA
"AF",1983,NA,NA
"AF",1984,NA,NA
"AF",1985,NA,NA
"AF",1986,NA,NA
"AF",1987,NA,NA
"AF",1988,NA,NA
"AF",1989,NA,NA
"AF",1990,NA,NA
"AF",1991,NA,NA
"AF",1992,NA,NA
"AF",1993,NA,NA
"AF",1994,NA,NA
"AF",1995,NA,NA
"AF",1996,NA,NA
"AF",1997,NA,NA
"AF",1998,NA,NA
"AF",1999,NA,NA
"AF",2000,NA,NA
"AF",2001,NA,NA
"AF",2002,NA,NA
"AF",2003,NA,NA
"AF",2004,NA,NA
"AF",2005,NA,NA
"AF",2006,NA,NA
"AF",2007,NA,NA
"AF",2008,NA,NA
"AF",2009,NA,NA
"AG",1981,NA,NA
"AG",1982,NA,NA
"AG",1983,NA,NA
"AG",1984,NA,NA
"AG",1985,NA,NA
"AG",1986,NA,NA
"AG",1987,NA,NA
"AG",1988,NA,NA
"AG",1989,NA,NA
"AG",1990,NA,NA
