"iso2c","year","federal"
"AD",1993,NA
"AD",1994,NA
"AD",1995,NA
"AD",1996,NA
"AD",1997,NA
"AD",1998,NA
"AD",1999,NA
"AD",2000,NA
"AD",2001,NA
"AD",2002,NA
"AD",2003,NA
"AD",2004,NA
"AD",2005,NA
"AD",2006,NA
"AD",2007,NA
"AD",2008,NA
"AE",1980,NA
"AE",1981,NA
"AE",1982,NA
"AE",1983,NA
"AE",1984,NA
"AE",1985,NA
"AE",1986,NA
"AE",1987,NA
"AE",1988,NA
"AE",1989,NA
"AE",1990,NA
"AE",1991,NA
"AE",1992,NA
"AE",1993,NA
"AE",1994,NA
"AE",1995,NA
"AE",1996,NA
"AE",1997,NA
"AE",1998,NA
"AE",1999,NA
"AE",2000,NA
"AE",2001,NA
"AE",2002,NA
"AE",2003,NA
"AE",2004,NA
"AE",2005,NA
"AE",2006,NA
"AE",2007,NA
"AE",2008,NA
"AE",2009,NA
"AF",1980,NA
"AF",1981,NA
"AF",1982,NA
"AF",1983,NA
"AF",1984,NA
"AF",1985,NA
"AF",1986,NA
"AF",1987,NA
"AF",1988,NA
"AF",1989,NA
"AF",1990,NA
"AF",1991,NA
"AF",1992,NA
"AF",1993,NA
"AF",1994,NA
"AF",1995,NA
"AF",1996,NA
"AF",1997,NA
"AF",1998,NA
"AF",1999,NA
"AF",2000,NA
"AF",2001,NA
"AF",2002,NA
"AF",2003,NA
"AF",2004,NA
"AF",2005,NA
"AF",2006,NA
"AF",2007,NA
"AF",2008,NA
"AF",2009,NA
"AG",1981,NA
"AG",1982,NA
"AG",1983,NA
"AG",1984,NA
"AG",1985,NA
"AG",1986,NA
"AG",1987,NA
"AG",1988,NA
"AG",1989,NA
"AG",1990,NA
"AG",1991,NA
"AG",1992,NA
"AG",1993,NA
"AG",1994,NA
"AG",1995,NA
"AG",1996,NA
"AG",1997,NA
"AG",1998,NA
"AG",1999,NA
"AG",2000,NA
"AG",2001,NA
"AG",2002,NA
"AG",2003,NA
"AG",2004,NA
"AG",2005,NA
"AG",2006,NA
"AG",2007,NA
"AG",2008,NA
"AL",1980,NA
"AL",1981,NA
"AL",1982,NA
"AL",1983,NA
"AL",1984,NA
"AL",1985,NA
"AL",1986,NA
"AL",1987,NA
"AL",1988,NA
"AL",1989,NA
"AL",1990,NA
"AL",1991,NA
"AL",1992,NA
"AL",1993,NA
"AL",1994,NA
"AL",1995,NA
"AL",1996,NA
"AL",1997,NA
"AL",1998,NA
"AL",1999,NA
"AL",2000,NA
"AL",2001,NA
"AL",2002,NA
"AL",2003,NA
"AL",2004,NA
"AL",2005,NA
"AL",2006,NA
"AL",2007,NA
"AL",2008,NA
"AL",2009,NA
"AM",1991,NA
"AM",1992,NA
"AM",1993,NA
"AM",1994,NA
"AM",1995,NA
"AM",1996,NA
"AM",1997,NA
"AM",1998,NA
"AM",1999,NA
"AM",2000,NA
"AM",2001,NA
"AM",2002,NA
"AM",2003,NA
"AM",2004,NA
"AM",2005,NA
"AM",2006,NA
"AM",2007,NA
"AM",2008,NA
"AM",2009,NA
"AO",1980,NA
"AO",1981,NA
"AO",1982,NA
"AO",1983,NA
"AO",1984,NA
"AO",1985,NA
"AO",1986,NA
"AO",1987,NA
"AO",1988,NA
"AO",1989,NA
"AO",1990,NA
"AO",1991,NA
"AO",1992,NA
"AO",1993,NA
"AO",1994,NA
"AO",1995,NA
"AO",1996,NA
"AO",1997,NA
"AO",1998,NA
"AO",1999,NA
"AO",2000,NA
"AO",2001,NA
"AO",2002,NA
"AO",2003,NA
"AO",2004,NA
"AO",2005,NA
"AO",2006,NA
"AO",2007,NA
"AO",2008,NA
"AO",2009,NA
"AR",1980,NA
"AR",1981,NA
"AR",1982,NA
"AR",1983,1
"AR",1984,1
"AR",1985,1
"AR",1986,1
"AR",1987,1
"AR",1988,1
"AR",1989,1
"AR",1990,1
"AR",1991,1
"AR",1992,1
"AR",1993,1
"AR",1994,1
"AR",1995,1
"AR",1996,1
"AR",1997,1
"AR",1998,1
"AR",1999,1
"AR",2000,1
"AR",2001,1
"AR",2002,1
"AR",2003,1
"AR",2004,1
"AR",2005,1
"AR",2006,1
"AR",2007,1
"AR",2008,1
"AR",2009,1
"AT",1980,1
"AT",1981,1
"AT",1982,1
"AT",1983,1
"AT",1984,1
"AT",1985,1
"AT",1986,1
"AT",1987,1
"AT",1988,1
"AT",1989,1
"AT",1990,1
"AT",1991,1
"AT",1992,1
"AT",1993,1
"AT",1994,1
"AT",1995,1
"AT",1996,1
"AT",1997,1
"AT",1998,1
"AT",1999,1
"AT",2000,1
"AT",2001,1
"AT",2002,1
"AT",2003,1
"AT",2004,1
"AT",2005,1
"AT",2006,1
"AT",2007,1
"AT",2008,1
"AT",2009,1
"AU",1980,1
"AU",1981,1
"AU",1982,1
"AU",1983,1
"AU",1984,1
"AU",1985,1
"AU",1986,1
"AU",1987,1
"AU",1988,1
"AU",1989,1
"AU",1990,1
"AU",1991,1
"AU",1992,1
"AU",1993,1
"AU",1994,1
"AU",1995,1
"AU",1996,1
"AU",1997,1
"AU",1998,1
"AU",1999,1
"AU",2000,1
"AU",2001,1
"AU",2002,1
"AU",2003,1
"AU",2004,1
"AU",2005,1
"AU",2006,1
"AU",2007,1
"AU",2008,1
"AU",2009,1
"AZ",1991,NA
"AZ",1992,NA
"AZ",1993,NA
"AZ",1994,NA
"AZ",1995,NA
"AZ",1996,NA
"AZ",1997,NA
"AZ",1998,NA
"AZ",1999,NA
"AZ",2000,NA
"AZ",2001,NA
"AZ",2002,NA
"AZ",2003,NA
"AZ",2004,NA
"AZ",2005,NA
"AZ",2006,NA
"AZ",2007,NA
"AZ",2008,NA
"AZ",2009,NA
"BA",1991,NA
"BA",1992,NA
"BA",1993,NA
"BA",1994,NA
"BA",1995,NA
"BA",1996,NA
"BA",1997,NA
"BA",1998,NA
"BA",1999,NA
"BA",2000,NA
"BA",2001,NA
"BA",2002,NA
"BA",2003,NA
"BA",2004,NA
"BA",2005,NA
"BA",2006,NA
"BA",2007,NA
"BA",2008,NA
"BA",2009,NA
"BB",1980,NA
"BB",1981,NA
"BB",1982,NA
"BB",1983,NA
"BB",1984,NA
"BB",1985,NA
"BB",1986,NA
"BB",1987,NA
"BB",1988,NA
"BB",1989,NA
"BB",1990,NA
"BB",1991,NA
"BB",1992,NA
"BB",1993,NA
"BB",1994,NA
"BB",1995,NA
"BB",1996,NA
"BB",1997,NA
"BB",1998,NA
"BB",1999,NA
"BB",2000,NA
"BB",2001,NA
"BB",2002,NA
"BB",2003,NA
"BB",2004,NA
"BB",2005,NA
"BB",2006,NA
"BB",2007,NA
"BB",2008,NA
"BD",1980,NA
"BD",1981,NA
"BD",1982,NA
"BD",1983,NA
"BD",1984,NA
"BD",1985,NA
"BD",1986,NA
"BD",1987,NA
"BD",1988,NA
"BD",1989,NA
"BD",1990,NA
"BD",1991,0
"BD",1992,0
"BD",1993,0
"BD",1994,0
"BD",1995,0
"BD",1996,0
"BD",1997,0
"BD",1998,0
"BD",1999,0
"BD",2000,0
"BD",2001,0
"BD",2002,0
"BD",2003,0
"BD",2004,0
"BD",2005,0
"BD",2006,0
"BD",2007,0
"BD",2008,0
"BD",2009,0
"BE",1980,0
"BE",1981,0
"BE",1982,0
"BE",1983,0
"BE",1984,0
"BE",1985,0
"BE",1986,0
"BE",1987,0
"BE",1988,0
"BE",1989,0
"BE",1990,0
"BE",1991,0
"BE",1992,0
"BE",1993,0
"BE",1994,0
"BE",1995,0
"BE",1996,0
"BE",1997,0
"BE",1998,0
"BE",1999,1
"BE",2000,1
"BE",2001,1
"BE",2002,1
"BE",2003,1
"BE",2004,1
"BE",2005,1
"BE",2006,1
"BE",2007,1
"BE",2008,1
"BE",2009,1
"BF",1980,NA
"BF",1981,NA
"BF",1982,NA
"BF",1983,NA
"BF",1984,NA
"BF",1985,NA
"BF",1986,NA
"BF",1987,NA
"BF",1988,NA
"BF",1989,NA
"BF",1990,NA
"BF",1991,NA
"BF",1992,NA
"BF",1993,NA
"BF",1994,NA
"BF",1995,NA
"BF",1996,NA
"BF",1997,NA
"BF",1998,NA
"BF",1999,NA
"BF",2000,NA
"BF",2001,NA
"BF",2002,NA
"BF",2003,NA
"BF",2004,NA
"BF",2005,NA
"BF",2006,NA
"BF",2007,NA
"BF",2008,NA
"BF",2009,NA
"BG",1980,NA
"BG",1981,NA
"BG",1982,NA
"BG",1983,NA
"BG",1984,NA
"BG",1985,NA
"BG",1986,NA
"BG",1987,NA
"BG",1988,NA
"BG",1989,NA
"BG",1990,0
"BG",1991,0
"BG",1992,0
"BG",1993,0
"BG",1994,0
"BG",1995,0
"BG",1996,0
"BG",1997,0
"BG",1998,0
"BG",1999,0
"BG",2000,0
"BG",2001,0
"BG",2002,0
"BG",2003,0
"BG",2004,0
"BG",2005,0
"BG",2006,0
"BG",2007,0
"BG",2008,0
"BG",2009,0
"BH",1980,NA
"BH",1981,NA
"BH",1982,NA
"BH",1983,NA
"BH",1984,NA
"BH",1985,NA
"BH",1986,NA
"BH",1987,NA
"BH",1988,NA
"BH",1989,NA
"BH",1990,NA
"BH",1991,NA
"BH",1992,NA
"BH",1993,NA
"BH",1994,NA
"BH",1995,NA
"BH",1996,NA
"BH",1997,NA
"BH",1998,NA
"BH",1999,NA
"BH",2000,NA
"BH",2001,NA
"BH",2002,NA
"BH",2003,NA
"BH",2004,NA
"BH",2005,NA
"BH",2006,NA
"BH",2007,NA
"BH",2008,NA
"BH",2009,NA
"BI",1980,NA
"BI",1981,NA
"BI",1982,NA
"BI",1983,NA
"BI",1984,NA
"BI",1985,NA
"BI",1986,NA
"BI",1987,NA
"BI",1988,NA
"BI",1989,NA
"BI",1990,NA
"BI",1991,NA
"BI",1992,NA
"BI",1993,NA
"BI",1994,NA
"BI",1995,NA
"BI",1996,NA
"BI",1997,NA
"BI",1998,NA
"BI",1999,NA
"BI",2000,NA
"BI",2001,NA
"BI",2002,NA
"BI",2003,NA
"BI",2004,NA
"BI",2005,NA
"BI",2006,NA
"BI",2007,NA
"BI",2008,NA
"BI",2009,NA
"BJ",1980,NA
"BJ",1981,NA
"BJ",1982,NA
"BJ",1983,NA
"BJ",1984,NA
"BJ",1985,NA
"BJ",1986,NA
"BJ",1987,NA
"BJ",1988,NA
"BJ",1989,NA
"BJ",1990,NA
"BJ",1991,0
"BJ",1992,0
"BJ",1993,0
"BJ",1994,0
"BJ",1995,0
"BJ",1996,0
"BJ",1997,0
"BJ",1998,0
"BJ",1999,0
"BJ",2000,0
"BJ",2001,0
"BJ",2002,0
"BJ",2003,0
"BJ",2004,0
"BJ",2005,0
