"iso2c","year","immunity"
"AD",2007,NA
"AE",2007,1
"AF",2007,1
"AG",2007,NA
"AL",2007,1
"AM",2007,0
"AO",2007,1
"AR",2007,1
"AT",2007,1
"AU",2007,0
"AZ",2007,1
"BA",2007,0
"BB",2007,NA
"BD",2007,0
"BE",2007,0
"BF",2007,1
"BG",2007,1
"BH",2007,0
"BI",2007,1
"BJ",2007,1
"BN",2007,NA
"BO",2007,0
"BR",2007,0
"BS",2007,NA
"BT",2007,0
"BW",2007,0
"BY",2007,0
"BZ",2007,NA
"CA",2007,0
"CD",2007,1
"CF",2007,1
"CG",2007,1
"CH",2007,1
"CI",2007,1
"CL",2007,0
"CM",2007,1
"CN",2007,0
"CO",2007,0
"CR",2007,1
"CU",2007,0
"CV",2007,NA
"CY",2007,0
"CZ",2007,1
"DE",2007,1
"DJ",2007,NA
"DK",2007,1
"DM",2007,NA
"DO",2007,1
"DZ",2007,0
"EC",2007,1
"EE",2007,1
"EG",2007,0
"ER",2007,0
"ES",2007,1
"ET",2007,1
"FI",2007,0
"FJ",2007,0
"FM",2007,NA
"FR",2007,1
"GA",2007,0
"GB",2007,0
"GD",2007,NA
"GE",2007,1
"GH",2007,0
"GM",2007,0
"GN",2007,0
"GQ",2007,NA
"GR",2007,1
"GT",2007,0
"GW",2007,0
"GY",2007,0
"HN",2007,0
"HR",2007,1
"HT",2007,0
"HU",2007,1
"ID",2007,0
"IE",2007,0
"IL",2007,1
"IN",2007,0
"IQ",2007,1
"IR",2007,0
"IS",2007,NA
"IT",2007,0
"JM",2007,0
"JO",2007,0
"JP",2007,0
"KE",2007,0
"KG",2007,0
"KH",2007,1
"KI",2007,NA
"KM",2007,1
"KN",2007,NA
"KP",2007,NA
"KR",2007,0
"KW",2007,0
"KZ",2007,1
"LA",2007,1
"LB",2007,0
"LC",2007,NA
"LI",2007,NA
"LK",2007,0
"LR",2007,0
"LS",2007,0
"LT",2007,1
"LU",2007,NA
"LV",2007,1
"LY",2007,0
"MA",2007,0
"MD",2007,1
"ME",2007,NA
"MG",2007,1
"MH",2007,NA
"MK",2007,1
"ML",2007,1
"MM",2007,0
"MN",2007,1
"MR",2007,1
"MT",2007,NA
"MU",2007,0
"MV",2007,NA
"MW",2007,0
"MX",2007,0
"MY",2007,0
"MZ",2007,1
"NE",2007,1
"NG",2007,0
"NI",2007,1
"NL",2007,0
"NO",2007,0
"NP",2007,0
"NR",2007,NA
"NZ",2007,0
"OM",2007,1
"PA",2007,0
"PE",2007,1
"PG",2007,0
"PH",2007,0
"PK",2007,0
"PL",2007,1
"PT",2007,0
"PW",2007,NA
"PY",2007,1
"QA",2007,1
"RO",2007,1
"RS",2007,1
"RU",2007,1
"RW",2007,1
"SA",2007,0
"SB",2007,NA
"SC",2007,NA
"SD",2007,0
"SE",2007,0
"SG",2007,0
"SI",2007,1
"SK",2007,1
"SL",2007,0
"SM",2007,NA
"SN",2007,0
"SO",2007,0
"SR",2007,NA
"ST",2007,NA
"SV",2007,1
"SY",2007,0
"SZ",2007,0
"TD",2007,0
"TG",2007,0
"TH",2007,1
"TJ",2007,1
"TL",2007,0
"TM",2007,0
"TN",2007,0
"TO",2007,NA
"TR",2007,1
"TT",2007,0
"TV",2007,NA
"TW",2007,1
"TZ",2007,0
"UA",2007,1
"UG",2007,0
"US",2007,0
"UY",2007,1
"UZ",2007,1
"VC",2007,NA
"VE",2007,1
"VN",2007,1
"VU",2007,NA
"WS",2007,NA
"YE",2007,1
"ZA",2007,0
"ZM",2007,0
"ZW",2007,0
NA,2007,0
