country,day,month,year,Video,Start Footage?,No.start,No.join,TimeToPeak.sec,No.atPeak,RangeNoPeak.low,RangeNoPeak.high,PeakLength.sec,R.involved,R.start,No.Names,No.Injuries,URL
Afghanistan,8,5,2006,Y,Y,4,0,560,5,5,8,8,Several,,1,0,
Afghanistan,6,7,2011,Y,Y,2,0,8,2,,,10,2,2,2,0,
Argentina,,11,2010,Y,Y,2,0,16,2,,,2,2,2,2,0,
Bolivia ,23,8,2007,Y,N,6,15,1,21,,,20,"""Some""",,0,0,
Bulgaria,22,11,1990,N,N,,,,,,,,,2,3,1,
Croatia,15,2,2001,N,N,,,,,,,,,,,,
Ecuador,22,8,1985,N,N,,,,,,,,10+,~2,3,1,
Georgia,5,11,2002,N,N,,,,,,,,5+,,0,0,
Georgia,1,7,2005,N,N,,,,,,,,,2,1,0,
Georgia,24,4,2012,Y,Y,2,1,40,3,2,5,20,2,2,2,0,http://www.youtube.com/watch?v=nU_87KAe21Y
Georgia,26,1,2010,Y,Y,2,0,3,2,,,11,,,,,http://www.youtube.com/watch?v=yeJ_g20xE8s
Georgia,6,4,1996,N,N,,,,,,,,2,2,2,0,
Ghana,26,7,2007,N,N,,,,,,,,2,2,0,0,
Guinea-Bissau,23,2,2006,N,N,,,,,,,,2,2,0,0,
Haiti,11,1,1994,N,N,,,,,,,,,,0,1,
Haiti,8,11,1994,N,N,,,,,,,,,2,1,0,
Haiti,7,8,2013,Y,Y,2,2,206,2,2,4,60,,Several,1,1,
India,17,2,1981,N,N,,,,,,,,"""Several""",1,1,,
India,24,3,1984,N,N,,,,,,,,,,,,
India,23,7,1984,N,N,,,,,,,,-several,~10,2,0,
India,,10,1997,Y,Y,8,60,18,75,60,100,68,,,,,
India,5,9,2012,Y,Y,2,0,7,2,,,10,2,2,2,0,http://www.youtube.com/watch?v=HjAlxMKCbD8
India,13,2,2014,,,,,,,,,,17+,,,3+,http://www.theguardian.com/world/2014/feb/13/india-parliament-pepper-spray-brawl-telangana-state?CMP=twt_gu
Indonesia,16,3,2005,N,N,,,,,,,,,,1,0,
